exec sudo mnexec -a 24189 iperf -s -u -p 8 -i 1
------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.4 port 60989
[  2] local 10.0.0.1 port 8 connected with 10.0.0.5 port 48225
[  3] local 10.0.0.1 port 8 connected with 10.0.0.2 port 43957
[  4] local 10.0.0.1 port 8 connected with 10.0.0.3 port 60239
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  2] 45.0000-46.0000 sec   610 KBytes  5.00 Mbits/sec   0.077 ms 0/425 (0%)
[  1] 46.0000-47.0000 sec   734 KBytes  6.01 Mbits/sec   0.270 ms 0/511 (0%)
[  3] 46.0000-47.0000 sec   854 KBytes  7.00 Mbits/sec   0.263 ms 0/595 (0%)
[  2] 46.0000-47.0000 sec   612 KBytes  5.01 Mbits/sec   0.010 ms 0/426 (0%)
[  4] 46.0000-47.0000 sec   612 KBytes  5.01 Mbits/sec   0.365 ms 0/426 (0%)
[  1] 47.0000-48.0000 sec   732 KBytes  6.00 Mbits/sec   0.322 ms 0/510 (0%)
[  3] 47.0000-48.0000 sec   856 KBytes  7.01 Mbits/sec   0.224 ms 0/596 (0%)
[  2] 47.0000-48.0000 sec   610 KBytes  5.00 Mbits/sec   0.011 ms 0/425 (0%)
[  4] 47.0000-48.0000 sec   610 KBytes  5.00 Mbits/sec   0.356 ms 0/425 (0%)
[  1] 48.0000-49.0000 sec   731 KBytes  5.99 Mbits/sec   0.717 ms 0/509 (0%)
[  2] 48.0000-49.0000 sec   610 KBytes  5.00 Mbits/sec   0.010 ms 0/425 (0%)
[  3] 48.0000-49.0000 sec   854 KBytes  7.00 Mbits/sec   0.570 ms 0/595 (0%)
[  4] 48.0000-49.0000 sec   609 KBytes  4.99 Mbits/sec   0.750 ms 0/424 (0%)
[  1] 49.0000-50.0000 sec   734 KBytes  6.01 Mbits/sec   0.271 ms 0/511 (0%)
[  3] 49.0000-50.0000 sec   854 KBytes  7.00 Mbits/sec   0.220 ms 0/595 (0%)
[  4] 49.0000-50.0000 sec   612 KBytes  5.01 Mbits/sec   0.346 ms 0/426 (0%)
[  2] 49.0000-50.0000 sec   610 KBytes  5.00 Mbits/sec   0.047 ms 0/425 (0%)
[  1] 50.0000-51.0000 sec   732 KBytes  6.00 Mbits/sec   0.349 ms 0/510 (0%)
[  3] 50.0000-51.0000 sec   854 KBytes  7.00 Mbits/sec   0.289 ms 0/595 (0%)
[  4] 50.0000-51.0000 sec   610 KBytes  5.00 Mbits/sec   0.417 ms 0/425 (0%)
[  2] 50.0000-51.0000 sec   610 KBytes  5.00 Mbits/sec   0.042 ms 0/425 (0%)
[  1] 51.0000-52.0000 sec   734 KBytes  6.01 Mbits/sec   0.319 ms 0/511 (0%)
[  3] 51.0000-52.0000 sec   854 KBytes  7.00 Mbits/sec   0.275 ms 0/595 (0%)
[  2] 51.0000-52.0000 sec   610 KBytes  5.00 Mbits/sec   0.035 ms 0/425 (0%)
[  4] 51.0000-52.0000 sec   612 KBytes  5.01 Mbits/sec   0.325 ms 0/426 (0%)
[  1] 52.0000-53.0000 sec   732 KBytes  6.00 Mbits/sec   0.414 ms 0/510 (0%)
[  2] 52.0000-53.0000 sec   612 KBytes  5.01 Mbits/sec   0.011 ms 0/426 (0%)
[  3] 52.0000-53.0000 sec   856 KBytes  7.01 Mbits/sec   0.224 ms 0/596 (0%)
[  4] 52.0000-53.0000 sec   610 KBytes  5.00 Mbits/sec   0.321 ms 0/425 (0%)
[  1] 53.0000-54.0000 sec   732 KBytes  6.00 Mbits/sec   0.308 ms 0/510 (0%)
[  3] 53.0000-54.0000 sec   854 KBytes  7.00 Mbits/sec   0.338 ms 0/595 (0%)
[  4] 53.0000-54.0000 sec   610 KBytes  5.00 Mbits/sec   0.472 ms 0/425 (0%)
[  2] 53.0000-54.0000 sec   610 KBytes  5.00 Mbits/sec   0.040 ms 0/425 (0%)
[  1] 54.0000-55.0000 sec   734 KBytes  6.01 Mbits/sec   0.315 ms 0/511 (0%)
[  3] 54.0000-55.0000 sec   854 KBytes  7.00 Mbits/sec   0.253 ms 0/595 (0%)
[  4] 54.0000-55.0000 sec   610 KBytes  5.00 Mbits/sec   0.376 ms 0/425 (0%)
[  2] 54.0000-55.0000 sec   610 KBytes  5.00 Mbits/sec   0.040 ms 0/425 (0%)
[  1] 55.0000-56.0000 sec   732 KBytes  6.00 Mbits/sec   0.385 ms 0/510 (0%)
[  3] 55.0000-56.0000 sec   856 KBytes  7.01 Mbits/sec   0.283 ms 0/596 (0%)
[  2] 55.0000-56.0000 sec   610 KBytes  5.00 Mbits/sec   0.015 ms 0/425 (0%)
[  4] 55.0000-56.0000 sec   610 KBytes  5.00 Mbits/sec   0.419 ms 0/425 (0%)
[  1] 56.0000-57.0000 sec   732 KBytes  6.00 Mbits/sec   0.329 ms 0/510 (0%)
[  3] 56.0000-57.0000 sec   854 KBytes  7.00 Mbits/sec   0.290 ms 0/595 (0%)
[  2] 56.0000-57.0000 sec   610 KBytes  5.00 Mbits/sec   0.026 ms 0/425 (0%)
[  4] 56.0000-57.0000 sec   610 KBytes  5.00 Mbits/sec   0.338 ms 0/425 (0%)
[  1] 57.0000-58.0000 sec   732 KBytes  6.00 Mbits/sec   0.319 ms 0/510 (0%)
[  2] 57.0000-58.0000 sec   610 KBytes  5.00 Mbits/sec   0.051 ms 0/425 (0%)
[  3] 57.0000-58.0000 sec   854 KBytes  7.00 Mbits/sec   0.216 ms 0/595 (0%)
[  4] 57.0000-58.0000 sec   610 KBytes  5.00 Mbits/sec   0.338 ms 0/425 (0%)
